File Name,Number,Name,Category,Subcategory,Color Code,Color Name
228-2500-001.dat,228-2500-001,1x2 Beam,1x Beam,,72,Dark Gray
228-2500-002.dat,228-2500-002,1x3 Beam,1x Beam,,72,Dark Gray
228-2500-003-v2.dat,228-2500-003,1x4 Beam,1x Beam,,72,Dark Gray
228-2500-004.dat,228-2500-004,1x5 Beam,1x Beam,,72,Dark Gray
228-2500-005-v2.dat,228-2500-005,1x6 Beam,1x Beam,,72,Dark Gray
228-2500-006.dat,228-2500-006,1x7 Beam,1x Beam,,72,Dark Gray
228-2500-007-v2.dat,228-2500-007,1x8 Beam,1x Beam,,72,Dark Gray
228-2500-008.dat,228-2500-008,1x9 Beam,1x Beam,,72,Dark Gray
228-2500-009-v2.dat,228-2500-009,1x10 Beam,1x Beam,,72,Dark Gray
228-2500-010.dat,228-2500-010,1x11 Beam,1x Beam,,72,Dark Gray
228-2500-011-v2.dat,228-2500-011,1x12 Beam,1x Beam,,72,Dark Gray
228-2500-012.dat,228-2500-012,1x13 Beam,1x Beam,,72,Dark Gray
228-2500-013.dat,228-2500-013,1x14 Beam,1x Beam,,72,Dark Gray
228-2500-014.dat,228-2500-014,1x16 Beam,1x Beam,,72,Dark Gray
228-2500-015.dat,228-2500-015,1x18 Beam,1x Beam,,72,Dark Gray
228-2500-016.dat,228-2500-016,1x20 Beam,1x Beam,,72,Dark Gray
228-2500-017.dat,228-2500-017,2x2 Beam,2x Beam,,72,Dark Gray
228-2500-018.dat,228-2500-018,2x3 Beam,2x Beam,,72,Dark Gray
228-2500-019.dat,228-2500-019,2x4 Beam,2x Beam,,72,Dark Gray
228-2500-020.dat,228-2500-020,2x5 Beam,2x Beam,,72,Dark Gray
228-2500-021.dat,228-2500-021,2x6 Beam,2x Beam,,72,Dark Gray
228-2500-022.dat,228-2500-022,2x7 Beam,2x Beam,,72,Dark Gray
228-2500-023.dat,228-2500-023,2x8 Beam,2x Beam,,72,Dark Gray
228-2500-024.dat,228-2500-024,2x9 Beam,2x Beam,,72,Dark Gray
228-2500-025.dat,228-2500-025,2x10 Beam,2x Beam,,72,Dark Gray
228-2500-026.dat,228-2500-026,2x12 Beam,2x Beam,,72,Dark Gray
228-2500-027.dat,228-2500-027,2x14 Beam,2x Beam,,72,Dark Gray
228-2500-028.dat,228-2500-028,2x16 Beam,2x Beam,,72,Dark Gray
228-2500-029.dat,228-2500-029,2x18 Beam,2x Beam,,72,Dark Gray
228-2500-030.dat,228-2500-030,2x20 Beam,2x Beam,,72,Dark Gray
228-2500-034.dat,228-2500-034,3x6 Plate,Plate,,72,Dark Gray
228-2500-036.dat,228-2500-036,3x10 Plate,Plate,,72,Dark Gray
228-2500-037.dat,228-2500-037,3x12 Plate,Plate,,72,Dark Gray
228-2500-040.dat,228-2500-040,4x4 Plate,Plate,,72,Dark Gray
228-2500-042.dat,228-2500-042,4x6 Plate,Plate,,72,Dark Gray
228-2500-043.dat,228-2500-043,4x8 Plate,Plate,,72,Dark Gray
228-2500-045.dat,228-2500-045,4x12 Plate,Plate,,72,Dark Gray
228-2500-046.dat,228-2500-046,4x16 Plate,Plate,,72,Dark Gray
228-2500-051.dat,228-2500-051,6x12 Plate,Plate,,72,Dark Gray
228-2500-059.dat,228-2500-059,12x12 Place,Plate,,72,Dark Gray
228-2500-060.dat,228-2500-060,1x1 Pin,Pin & Standoff,,73,Blue
228-2500-061.dat,228-2500-061,1x2 Pin,Pin & Standoff,,73,Blue
228-2500-062.dat,228-2500-062,2x2 Pin,Pin & Standoff,,73,Blue
228-2500-063.dat,228-2500-063,0.25p Standoff,Pin & Standoff,,0,Black
228-2500-064a.dat,228-2500-064,0.5p Standoff,Pin & Standoff,,0,Black
228-2500-065a.dat,228-2500-065,1p Standoff,Pin & Standoff,,0,Black
228-2500-066.dat,228-2500-066,1.5p Standoff,Pin & Standoff,,0,Black
228-2500-067a.dat,228-2500-067,2p Standoff,Pin & Standoff,,0,Black
228-2500-069.dat,228-2500-069,3p Standoff,Pin & Standoff,,0,Black
228-2500-070a.dat,228-2500-070,4p Standoff,Pin & Standoff,,0,Black
228-2500-072a.dat,228-2500-072,6p Standoff,Pin & Standoff,,0,Black
228-2500-073.dat,228-2500-073,1x1 Idler Pin,Pin & Standoff,,7,Light Gray
228-2500-074.dat,228-2500-074,2p Plastic Shaft,Shaft,,0,Black
228-2500-075.dat,228-2500-075,3p Plastic Shaft,Shaft,,0,Black
228-2500-076.dat,228-2500-076,4p Plastic Shaft,Shaft,,0,Black
228-2500-077.dat,228-2500-077,5p Plastic Shaft,Shaft,,0,Black
228-2500-078.dat,228-2500-078,2p Plastic Motor Shaft,Shaft,,0,Black
228-2500-079.dat,228-2500-079,4p Plastic Motor Shaft,Shaft,,0,Black
228-2500-080.dat,228-2500-080,2p Capped Plastic Shaft,Shaft,,0,Black
228-2500-081.dat,228-2500-081,3p Capped Plastic Shaft,Shaft,,0,Black
228-2500-082.dat,228-2500-082,4p Capped Plastic Shaft,Shaft,,0,Black
